 ====== APC Propeller Static Thrust VS. RPM Predictions =======



                       105x45.dat                 

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.04          0.00          0.03          0.06          0.12
       2000          0.15          0.00          0.13          0.06          0.12
       3000          0.34          0.01          0.28          0.06          0.12
       4000          0.61          0.03          0.51          0.06          0.12
       5000          0.95          0.06          0.77          0.06          0.12
       6000          1.37          0.10          1.06          0.06          0.12
       7000          1.86          0.15          1.38          0.06          0.12
       8000          2.45          0.27          2.11          0.07          0.12
       9000          3.16          0.52          3.65          0.09          0.12
      10000          3.98          0.90          5.66          0.11          0.12
      11000          4.89          1.43          8.21          0.13          0.13
      12000          5.91          2.17         11.40          0.16          0.13
      13000          7.05          3.16         15.32          0.18          0.13
      13999          8.31          4.47         20.13          0.20          0.13
      15000          9.69          6.19         26.02          0.23          0.14
      16000         10.89          6.96         27.41          0.21          0.13
      17000         12.13          7.60         28.19          0.19          0.13
      18000         13.44          8.43         29.51          0.18          0.13
      19000         15.19         12.88         42.73          0.23          0.13
      20000         16.37         11.04         34.79          0.17          0.13
